Pain,Tempo,Pitch,Mood,Raga
Anxiety,Medium,High,Uplifting,Yaman
Headache,Very Slow,Low,Hopeful,Hamsadhwani
Chronic Pain,Slow,Low,Relaxed,Shree
Insomnia,Fast,Medium,Meditative,Nilambari
Stress,Medium,Low,Relaxed,Shree
Chronic Pain,Fast,Low,Relaxed,Hamsadhwani
Headache,Very Slow,High,Hopeful,Hamsadhwani
Insomnia,Very Slow,High,Energetic,Yaman
Insomnia,Slow,High,Calm,Kafi
Chronic Pain,Fast,Low,Meditative,Todi
Chronic Pain,Medium,High,Meditative,Todi
Stress,Medium,High,Calm,Bhimpalasi
Headache,Very Slow,Low,Sleepy,Bhimpalasi
Muscle Ache,Slow,Low,Hopeful,Todi
Insomnia,Fast,Medium,Uplifting,Desh
Chronic Pain,Slow,High,Hopeful,Desh
Headache,Very Slow,Medium,Uplifting,Yaman
Insomnia,Medium,Low,Energetic,Yaman
Headache,Very Slow,Medium,Meditative,Todi
Headache,Very Slow,Medium,Hopeful,Bhimpalasi
Insomnia,Medium,High,Hopeful,Shree
Stress,Fast,High,Calm,Nilambari
Insomnia,Fast,Low,Relaxed,Hamsadhwani
Stress,Fast,High,Calm,Kafi
Headache,Very Slow,Medium,Bright,Desh
Chronic Pain,Very Slow,High,Sleepy,Yaman
Muscle Ache,Medium,Low,Meditative,Todi
Muscle Ache,Medium,High,Relaxed,Bhimpalasi
Insomnia,Slow,Medium,Hopeful,Todi
Anxiety,Medium,High,Uplifting,Yaman
Anxiety,Fast,High,Calm,Hamsadhwani
Stress,Medium,Low,Bright,Madhyamavati
Stress,Medium,High,Uplifting,Yaman
Chronic Pain,Medium,High,Meditative,Todi
Muscle Ache,Slow,Medium,Hopeful,Todi
Muscle Ache,Slow,Low,Calm,Desh
Chronic Pain,Fast,Low,Calm,Shree
Insomnia,Fast,Medium,Hopeful,Kafi
Stress,Very Slow,High,Bright,Madhyamavati
Stress,Very Slow,Low,Sleepy,Bhimpalasi
Muscle Ache,Medium,Low,Energetic,Bhimpalasi
Stress,Very Slow,Medium,Bright,Madhyamavati
Muscle Ache,Very Slow,High,Calm,Desh
Insomnia,Slow,Medium,Hopeful,Todi
Chronic Pain,Slow,High,Energetic,Yaman
Anxiety,Medium,Medium,Bright,Madhyamavati
Muscle Ache,Fast,Medium,Energetic,Todi
Chronic Pain,Slow,Medium,Uplifting,Kafi
Insomnia,Fast,Low,Uplifting,Yaman
Muscle Ache,Medium,Low,Energetic,Desh
Headache,Fast,Medium,Sleepy,Desh
Chronic Pain,Fast,High,Hopeful,Nilambari
Insomnia,Slow,Medium,Sleepy,Nilambari
Stress,Very Slow,Medium,Meditative,Todi
Insomnia,Very Slow,Medium,Bright,Desh
Insomnia,Slow,Low,Calm,Kafi
Headache,Fast,High,Sleepy,Bhimpalasi
Stress,Medium,Low,Meditative,Bhimpalasi
Insomnia,Medium,Low,Uplifting,Nilambari
Muscle Ache,Medium,Medium,Uplifting,Kafi
Chronic Pain,Slow,High,Relaxed,Kafi
Stress,Slow,High,Meditative,Nilambari
Stress,Medium,High,Sleepy,Desh
Anxiety,Slow,Low,Meditative,Bhimpalasi
Headache,Slow,Low,Uplifting,Hamsadhwani
